title,year,actors_count,actresses_count,producer_count_male,producer_count_female,director_count,directress_count,averageRating,numVotes,budget,revenue,actress_percent,actors_percent,women_directing_percent,men_directing_percent,women_producing_percent,men_producing_percent,Animation,Family,Fantasy,Musical,Romance,Music,Adventure,Drama,Crime,Thriller,Documentary,Horror,Action,Western,Comedy,War,Sci-Fi,Sport,History,Biography,Mystery,Film-Noir,Adult,revenue_budget,class,moviesByYear
the_broken_hearts_club:_a_romantic_comedy,2000,26,5,3,2,1,0,6.9,8005,1000000.0,1744858.0,16.0,84.0,0.0,100.0,40.0,60.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.744858,0,91
ghosts_of_mars,2001,28,11,0,1,1,0,4.9,56651,28000000.0,14010832.0,28.0,72.0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.5003868571428571,0,101
atlantis:_the_lost_empire,2001,12,5,1,1,2,0,6.9,129086,120000000.0,186053725.0,29.0,71.0,0.0,100.0,50.0,50.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5504477083333332,0,101
the_tailor_of_panama,2001,30,8,3,0,1,0,6.1,30610,21000000.0,28008462.0,21.0,79.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3337362857142858,0,101
l.i.e.,2001,19,8,4,2,1,0,7.1,10319,700000.0,1667192.0,30.0,70.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3817028571428573,1,101
house_of_1000_corpses,2003,24,6,5,1,1,0,6.0,90695,7000000.0,16829545.0,20.0,80.0,0.0,100.0,17.0,83.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.404220714285714,1,92
panic_room,2002,13,4,3,2,1,0,6.8,289974,48000000.0,196397415.0,24.0,76.0,0.0,100.0,40.0,60.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0916128125,1,106
session_9,2001,10,2,4,1,1,0,6.4,61505,1500000.0,373967.0,17.0,83.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.24931133333333333,0,101
changing_lanes,2002,52,34,4,0,1,0,6.5,73586,45000000.0,94935764.0,40.0,60.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1096836444444445,1,106
jimmy_neutron:_boy_genius,2001,20,12,5,2,1,0,6.1,37004,25000000.0,80936232.0,38.0,62.0,0.0,100.0,29.0,71.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3.23744928,1,101
secretary,2002,13,16,5,2,1,0,6.9,95832,4000000.0,9304609.0,55.0,45.0,0.0,100.0,29.0,71.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.32615225,1,106
the_good_girl,2002,11,11,3,3,1,0,6.4,46597,8000000.0,16856124.0,50.0,50.0,0.0,100.0,50.0,50.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.1070155,1,106
ghost_ship,2002,14,3,7,1,1,0,5.6,106398,35000000.0,68349884.0,18.0,82.0,0.0,100.0,12.0,88.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.9528538285714285,0,106
a_guy_thing,2003,46,19,3,1,1,0,5.6,17974,20000000.0,17432163.0,29.0,71.0,0.0,100.0,25.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.87160815,0,92
may,2002,12,16,5,0,1,0,6.6,39349,500000.0,150277.0,57.0,43.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300554,0,106
the_santa_clause_2,2002,37,21,10,0,1,0,5.7,61338,65000000.0,172855065.0,36.0,64.0,0.0,100.0,0.0,100.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6593086923076923,1,106
blood_work,2002,24,10,2,1,1,0,6.4,46800,50000000.0,26199517.0,29.0,71.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.52399034,0,106
identity,2003,18,4,1,2,1,0,7.3,260698,30000000.0,90259536.0,18.0,82.0,0.0,100.0,67.0,33.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0086512,1,92
open_range,2003,24,5,5,0,1,0,7.4,76485,22000000.0,68296293.0,17.0,83.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.1043769545454545,1,92
freaky_friday,2003,18,17,2,1,1,0,6.3,147792,26000000.0,110230332.0,49.0,51.0,0.0,100.0,33.0,67.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.239628153846154,1,92
the_notebook,2004,50,28,3,1,1,0,7.8,598814,29000000.0,115603229.0,36.0,64.0,0.0,100.0,25.0,75.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98631824137931,1,104
from_justin_to_kelly,2003,31,26,4,1,1,0,1.9,26917,12000000.0,4922166.0,46.0,54.0,0.0,100.0,20.0,80.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4101805,0,92
"the_book_of_mormon_movie,_volume_1:_the_journey",2003,21,12,3,1,1,0,3.1,523,2000000.0,1672730.0,36.0,64.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836365,0,92
dawn_of_the_dead,2004,34,13,7,0,1,0,7.3,265797,28000000.0,102356381.0,28.0,72.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3.6555850357142856,1,104
secret_window,2004,12,7,2,0,1,0,6.5,205030,40000000.0,92913171.0,37.0,63.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.322829275,1,104
mirrormask,2005,27,13,3,1,1,0,6.7,23438,4000000.0,866999.0,32.0,68.0,0.0,100.0,25.0,75.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21674975,0,102
soul_plane,2004,37,29,6,0,1,0,4.5,24003,16000000.0,14822346.0,44.0,56.0,0.0,100.0,0.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.926396625,0,104
the_hitchhiker's_guide_to_the_galaxy,2005,56,17,9,2,1,0,6.7,204976,50000000.0,104478416.0,23.0,77.0,0.0,100.0,18.0,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.08956832,1,102
team_america:_world_police,2004,12,5,6,2,1,0,7.2,175617,32000000.0,50907422.0,29.0,71.0,0.0,100.0,25.0,75.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.5908569375,0,104
x-men:_the_last_stand,2006,54,22,10,1,1,0,6.6,531707,210000000.0,459359555.0,29.0,71.0,0.0,100.0,9.0,91.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.1874264523809526,1,107
ratatouille,2007,21,3,3,1,2,0,8.1,788178,150000000.0,623722818.0,12.0,88.0,0.0,100.0,25.0,75.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.15815212,1,86
click,2006,42,32,8,2,1,0,6.4,347200,82500000.0,237681299.0,43.0,57.0,0.0,100.0,20.0,80.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.8809854424242425,1,107
the_pacifier,2005,52,30,7,1,1,0,5.6,98793,56000000.0,113006880.0,37.0,63.0,0.0,100.0,12.0,88.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2.01798,1,102
house_of_wax,2005,10,5,7,1,1,0,5.5,130814,40000000.0,68766121.0,33.0,67.0,0.0,100.0,12.0,88.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.719153025,0,102
the_skeleton_key,2005,41,30,5,1,1,0,6.5,120192,43000000.0,91974818.0,42.0,58.0,0.0,100.0,17.0,83.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.1389492558139533,1,102
bolt,2008,33,15,3,0,2,0,6.8,222722,150000000.0,309979994.0,31.0,69.0,0.0,100.0,0.0,100.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0665332933333334,1,103
tangled,2010,25,13,3,1,2,0,7.7,478127,260000000.0,591794936.0,34.0,66.0,0.0,100.0,25.0,75.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2761343692307694,1,92
open_season,2006,18,11,3,3,2,1,6.1,102790,85000000.0,197309027.0,38.0,62.0,33.0,67.0,50.0,50.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.3212826705882352,1,107
sky_high,2005,22,15,2,1,1,0,6.3,92252,35000000.0,86369815.0,41.0,59.0,0.0,100.0,33.0,67.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.467709,1,102
zathura:_a_space_adventure,2005,10,1,6,0,1,0,6.2,111594,65000000.0,64321501.0,9.0,91.0,0.0,100.0,0.0,100.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.9895615538461539,0,102
flightplan,2005,27,19,5,2,1,0,6.3,168590,55000000.0,223387299.0,41.0,59.0,0.0,100.0,29.0,71.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.061587254545454,1,102
charlotte's_web,2006,30,17,5,1,1,0,6.3,45133,85000000.0,144000000.0,36.0,64.0,0.0,100.0,17.0,83.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6941176470588235,0,107
sherrybaby,2006,13,12,3,1,0,1,6.6,11973,2000000.0,622806.0,48.0,52.0,100.0,0.0,25.0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311403,0,107
surf's_up,2007,26,12,1,2,2,0,6.7,87188,85000000.0,149044513.0,32.0,68.0,0.0,100.0,67.0,33.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.7534648588235293,0,86
aquamarine,2006,17,14,1,1,0,1,5.4,44135,12000000.0,23006849.0,45.0,55.0,100.0,0.0,50.0,50.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9172374166666666,0,107
the_women,2008,0,60,9,5,0,1,5.0,22556,16000000.0,50007546.0,100.0,0.0,100.0,0.0,36.0,64.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.125471625,1,103
hoodwinked!,2005,22,6,3,2,3,0,6.5,64656,15000000.0,51053787.0,21.0,79.0,0.0,100.0,40.0,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.4035858,1,102
scott_pilgrim_vs._the_world,2010,36,20,9,2,1,0,7.5,449382,60000000.0,47664559.0,36.0,64.0,0.0,100.0,18.0,82.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7944093166666667,0,92
puss_in_boots,2011,16,9,6,2,1,0,6.6,186064,130000000.0,554987477.0,36.0,64.0,0.0,100.0,25.0,75.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.269134438461538,1,90
blood_diamond,2006,49,10,9,3,1,0,8.0,571872,100000000.0,170877916.0,17.0,83.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70877916,0,107
michael_clayton,2007,46,21,7,2,1,0,7.2,171031,25000000.0,92991835.0,31.0,69.0,0.0,100.0,22.0,78.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7196734,1,86
the_astronaut_farmer,2006,53,25,6,1,1,0,6.3,23102,13000000.0,11130889.0,32.0,68.0,0.0,100.0,14.0,86.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8562222307692308,0,107
9,2009,8,2,5,4,1,0,7.0,144577,30000000.0,48428063.0,20.0,80.0,0.0,100.0,44.0,56.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1.6142687666666666,0,103
crossover,2006,25,14,4,0,1,0,2.1,9268,5800000.0,7000000.0,36.0,64.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.206896551724138,0,107
bound,1996,9,5,4,2,2,0,7.3,59005,4500000.0,7011317.0,36.0,64.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5580704444444444,0,55
yentl,1983,19,10,2,1,0,1,6.6,15003,12000000.0,30400000.0,34.0,66.0,100.0,0.0,33.0,67.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.533333333333333,1,10
journey_from_the_fall,2006,17,8,4,1,1,0,7.2,932,1300000.0,639000.0,32.0,68.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49153846153846154,0,107
how_to_train_your_dragon,2010,10,3,5,4,2,0,8.1,775747,165000000.0,494878759.0,23.0,77.0,0.0,100.0,44.0,56.0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.999265206060606,1,92
the_end_of_the_affair,1999,12,4,2,1,1,0,7.0,23566,23000000.0,10827816.0,25.0,75.0,0.0,100.0,33.0,67.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4707746086956522,0,82
no_end_in_sight,2007,3,0,2,4,1,0,8.2,8550,2000000.0,1431623.0,0.0,100.0,0.0,100.0,67.0,33.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7158115,0,86
beastly,2011,12,10,1,2,1,0,5.5,79099,17000000.0,43165571.0,45.0,55.0,0.0,100.0,67.0,33.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5391512352941175,1,90
inside_job,2010,4,1,2,4,1,0,8.2,77745,2000000.0,7871522.0,20.0,80.0,0.0,100.0,67.0,33.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.935761,1,92
